Version,Vector,BaseScore,ImpactSubscore,ExploitabilitySubscore,TemporalScore,EnvironmentalScore,Severity
2,AV:A/AC:H/Au:S/C:P/I:N/A:P,2.9,4.94,2.53,,,Low
2,AV:A/AC:H/Au:S/C:P/I:N/A:P/E:U/RL:OF/RC:C,2.9,4.94,2.53,2.1,,Low
2,AV:A/AC:H/Au:S/C:P/I:P/A:C/E:U/RL:OF/RC:C,5.5,8.55,2.53,4.1,,Medium
2,AV:A/AC:H/Au:S/C:P/I:P/A:N/E:ND/RL:ND/RC:ND,2.9,4.94,2.53,,,Low
2,AV:A/AC:H/Au:S/C:P/I:P/A:N/E:U/RL:OF/RC:C,2.9,4.94,2.53,2.1,,Low
2,AV:A/AC:H/Au:S/C:P/I:P/A:P,4,6.44,2.53,,,Medium
2,AV:A/AC:H/Au:S/C:P/I:P/A:P/E:H/RL:ND/RC:ND,4,6.44,2.53,4,,Medium
2,AV:A/AC:H/Au:S/C:P/I:P/A:P/E:U/RL:OF/RC:C,4,6.44,2.53,3,,Medium
2,AV:A/AC:L/Au:M/C:C/I:C/A:C,7.2,10,4.13,,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:F/RL:U/RC:C,7.2,10,4.13,6.8,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:H/RL:ND/RC:ND,7.2,10,4.13,7.2,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:H/RL:OF/RC:C,7.2,10,4.13,6.3,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:ND/RL:ND/RC:ND,7.2,10,4.13,,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:ND/RL:OF/RC:C,7.2,10,4.13,6.3,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:POC/RL:OF/RC:C,7.2,10,4.13,5.6,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:POC/RL:U/RC:UR,7.2,10,4.13,6.2,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:U/RL:OF/RC:C,7.2,10,4.13,5.3,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:U/RL:U/RC:UR,7.2,10,4.13,5.8,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:C/E:U/RL:W/RC:UR,7.2,10,4.13,5.5,,High
2,AV:A/AC:L/Au:M/C:C/I:C/A:N/E:U/RL:OF/RC:C,6.7,9.21,4.13,5,,Medium
2,AV:A/AC:L/Au:M/C:C/I:C/A:P/E:U/RL:OF/RC:C,6.9,9.54,4.13,5.1,,Medium
2,AV:A/AC:L/Au:M/C:C/I:N/A:N,5,6.87,4.13,,,Medium
2,AV:A/AC:L/Au:M/C:C/I:N/A:N/E:H/RL:ND/RC:ND,5,6.87,4.13,5,,Medium
2,AV:A/AC:L/Au:M/C:C/I:N/A:N/E:U/RL:OF/RC:C,5,6.87,4.13,3.7,,Medium
2,AV:A/AC:L/Au:M/C:C/I:N/A:P/E:H/RL:OF/RC:C,5.7,7.84,4.13,5,,Medium
2,AV:A/AC:L/Au:M/C:C/I:P/A:N/E:U/RL:OF/RC:C,5.7,7.84,4.13,4.2,,Medium
2,AV:A/AC:L/Au:M/C:C/I:P/A:P/E:U/RL:OF/RC:C,6.2,8.55,4.13,4.6,,Medium
2,AV:A/AC:L/Au:M/C:N/I:C/A:C/E:U/RL:OF/RC:C,6.7,9.21,4.13,5,,Medium
2,AV:A/AC:L/Au:M/C:N/I:N/A:C,5,6.87,4.13,,,Medium
2,AV:A/AC:L/Au:M/C:N/I:N/A:C/E:H/RL:ND/RC:ND,5,6.87,4.13,5,,Medium
2,AV:A/AC:L/Au:M/C:N/I:N/A:C/E:POC/RL:OF/RC:C,5,6.87,4.13,3.9,,Medium
2,AV:A/AC:L/Au:M/C:N/I:N/A:C/E:U/RL:OF/RC:C,5,6.87,4.13,3.7,,Medium
2,AV:A/AC:L/Au:M/C:N/I:P/A:C/E:U/RL:OF/RC:C,5.7,7.84,4.13,4.2,,Medium
2,AV:A/AC:L/Au:M/C:N/I:P/A:N,2.2,2.86,4.13,,,Low
2,AV:A/AC:L/Au:M/C:N/I:P/A:N/E:U/RL:OF/RC:C,2.2,2.86,4.13,1.6,,Low
2,AV:A/AC:L/Au:M/C:N/I:P/A:P,3.7,4.94,4.13,,,Low
2,AV:A/AC:L/Au:M/C:P/I:C/A:N/E:POC/RL:U/RC:UR,5.7,7.84,4.13,4.9,,Medium
2,AV:A/AC:L/Au:M/C:P/I:C/A:N/E:U/RL:OF/RC:C,5.7,7.84,4.13,4.2,,Medium
2,AV:A/AC:L/Au:M/C:P/I:C/A:P/E:H/RL:ND/RC:ND,6.2,8.55,4.13,6.2,,Medium
2,AV:A/AC:L/Au:M/C:P/I:C/A:P/E:U/RL:OF/RC:C,6.2,8.55,4.13,4.6,,Medium
2,AV:A/AC:L/Au:M/C:P/I:N/A:C/E:U/RL:OF/RC:C,5.7,7.84,4.13,4.2,,Medium
2,AV:A/AC:L/Au:M/C:P/I:N/A:N/E:H/RL:ND/RC:ND,2.2,2.86,4.13,2.2,,Low
2,AV:A/AC:L/Au:M/C:P/I:N/A:N/E:U/RL:OF/RC:C,2.2,2.86,4.13,1.6,,Low
2,AV:A/AC:L/Au:M/C:P/I:P/A:C/E:U/RL:OF/RC:C,6.2,8.55,4.13,4.6,,Medium
2,AV:A/AC:L/Au:M/C:P/I:P/A:N,3.7,4.94,4.13,,,Low
2,AV:A/AC:L/Au:M/C:P/I:P/A:N/E:H/RL:OF/RC:C,3.7,4.94,4.13,3.2,,Low
2,AV:A/AC:L/Au:M/C:P/I:P/A:N/E:ND/RL:ND/RC:ND,3.7,4.94,4.13,,,Low
2,AV:A/AC:L/Au:M/C:P/I:P/A:N/E:ND/RL:OF/RC:C,3.7,4.94,4.13,3.2,,Low
2,AV:A/AC:L/Au:M/C:P/I:P/A:N/E:U/RL:OF/RC:C,3.7,4.94,4.13,2.7,,Low
2,AV:A/AC:L/Au:M/C:P/I:P/A:P,4.7,6.44,4.13,,,Medium
2,AV:A/AC:L/Au:M/C:P/I:P/A:P/E:H/RL:ND/RC:ND,4.7,6.44,4.13,4.7,,Medium
2,AV:A/AC:L/Au:M/C:P/I:P/A:P/E:POC/RL:OF/RC:C,4.7,6.44,4.13,3.7,,Medium
2,AV:A/AC:L/Au:M/C:P/I:P/A:P/E:U/RL:OF/RC:C,4.7,6.44,4.13,3.5,,Medium
2,AV:A/AC:L/Au:M/C:P/I:P/A:P/E:U/RL:U/RC:UR,4.7,6.44,4.13,3.8,,Medium
2,AV:A/AC:L/Au:N/C:C/I:C/A:C,8.3,10,6.46,,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:F/RL:ND/RC:ND,8.3,10,6.46,7.9,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:F/RL:OF/RC:C,8.3,10,6.46,6.9,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:F/RL:U/RC:C,8.3,10,6.46,7.9,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:F/RL:U/RC:UR,8.3,10,6.46,7.5,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:H/RL:ND/RC:ND,8.3,10,6.46,8.3,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:H/RL:OF/RC:C,8.3,10,6.46,7.2,,High
2,AV:N/AC:L/Au:N/C:C/I:C/A:C/E:H/RL:U/RC:C/CDP:H/TD:H/CR:H/IR:H/AR:H,10.0,10.0,10.0,10.0,10.0,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:H/RL:U/RC:UR,8.3,10,6.46,7.9,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:ND/RL:ND/RC:ND,8.3,10,6.46,,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:ND/RL:OF/RC:C,8.3,10,6.46,7.2,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:ND/RL:U/RC:UR,8.3,10,6.46,7.9,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:POC/RL:OF/RC:C,8.3,10,6.46,6.5,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:POC/RL:U/RC:UC,8.3,10,6.46,6.7,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:POC/RL:U/RC:UR,8.3,10,6.46,7.1,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:U/RL:OF/RC:C,8.3,10,6.46,6.1,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:U/RL:OF/RC:UR,8.3,10,6.46,5.8,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:U/RL:U/RC:UR,8.3,10,6.46,6.7,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:C/E:U/RL:W/RC:C,8.3,10,6.46,6.7,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:N,7.8,9.21,6.46,,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:N/E:F/RL:U/RC:C,7.8,9.21,6.46,7.4,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:N/E:H/RL:ND/RC:ND,7.8,9.21,6.46,7.8,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:N/E:POC/RL:OF/RC:C,7.8,9.21,6.46,6.1,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:N/E:POC/RL:U/RC:UR,7.8,9.21,6.46,6.7,,High
2,AV:A/AC:L/Au:N/C:C/I:C/A:N/E:U/RL:OF/RC:C,7.8,9.21,6.46,5.8,,High
